CaseNumber,PRSM,Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Months.of.History,Loan.Type,FICO,Years.In.Business,Num.of.Credit.Lines,Satisfied.Accounts,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Years.in.File,Num.of.Legal.Items,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Male.Population.in.Zip.Code,Female.Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,Median.Age.in.Zip.Code,Time.Zone,Bus.Establishments.in.Zip.Code,Employment.in.Zip.Code,Annual.Payroll.in.Zip.Code,PO.Residential.Count.in.Zip,PO.Business.Count.in.Zip,Delivery.Total,State,ISO.Name,Loan.Size.Class
228217857,0.99177305,6992,12000,14100,10,972,22395.08,22395.3333,3,O,648,9,25,24,16,0,1,Corporation,3,5,0,3,58,Eating and Drinking Places,43176,21072,22104,120400,42958,35,6,1241,26435,810700,19786,1317,21103,WI,OTHER,S2
267710461,0.795047088,11397,24400,28670,12.5,1317.6,36379.06,36380.6159,7,R,619,19,18,14,7,0,4,Corporation,11,2,2,1,73,Business Services,14534,6712,7822,113900,44814,41.3,5,323,5959,174235,7410,309,7719,NY,OTHER,S3
43417379,0.963381743,9287,16000,19280,12.5,1466.4,12450.56,12452.6292,3,O,692,2,38,38,26,0,0,Limited Liability Company,18,2,1,0,73,Business Services,11151,5563,5588,110700,53278,31.2,5,259,2239,44127,6850,158,7008,GA,H,S2
33811162,0.714782609,5343,13000,14950,12.5,1014,20381.34,20381.3333,3,O,527,1,43,30,26,1,12,Corporation,1,0,1,0,72,Personal Services,16884,8316,8568,118500,62047,33.5,6,370,4919,85675,6644,209,6853,MO,B,S2
174316217,0.517195122,12723,40000,49200,12.5,5840,28822.64,28822.6667,3,O,594,3,3,1,0,2,0,Corporation,27,1,1,1,58,Eating and Drinking Places,34230,18721,15509,261700,42255,39.1,5,1563,14912,347902,12035,1526,13561,FL,OTHER,S3
253715602,1.234439716,21757,30000,35250,12.5,2430,150152.02,115855.385,13,O,634,2,43,38,27,1,4,Corporation,3,5,2,0,58,Eating and Drinking Places,13123,6122,7001,223500,61114,59.9,5,999,8040,322593,8953,568,9521,FL,OTHER,S3
399812830,1.277060993,112541,150000,176250,10,14175,189440.62,189440.667,9,O,650,21,35,35,13,0,0,Corporation,6,0,1,0,56,Apparel and Accessory Stores,792,398,394,180600,68438,43.3,5,12,40,667,153,4,157,SC,OTHER,S4
368014253,0.586322581,9088,25000,31000,12.5,5550,19718.4,25938.6667,6,O,489,7,43,11,22,14,18,Corporation,5,26,0,23,58,Eating and Drinking Places,25032,11927,13105,97300,42194,33,5,1033,16787,493801,7716,997,8713,IN,B,S3
150014578,0.956797235,16610,28000,34720,12.5,4144,18392.84,18392.6667,3,O,540,8,43,12,15,22,9,Sole Proprietorship,8,2,2,2,54,Food Stores,9955,4862,5093,94700,41779,36.5,5,170,1955,49626,3804,158,3962,MI,B,S3
228313457,0.646403242,1595,4200,4935,12.5,496.12,3867.1,3867,4,O,624,7,33,19,11,3,11,Limited Liability Company,2,1,1,0,72,Personal Services,10763,5335,5428,133300,43326,36.9,6,164,1004,27467,5638,129,5767,LA,D,S1
155510505,1.005795339,12409,21000,24675,12.5,2268,18925,18925,4,O,692,32,41,24,33,1,16,Corporation,4,0,0,0,59,Miscellaneous Retail Stores,27247,12839,14408,77700,25905,27.3,6,638,9124,168401,9165,926,10091,LA,OTHER,S2
296716962,0.975559193,8941,15600,18330,12.5,421.2,14446,9170,3,R,501,4,30,15,17,6,9,Corporation,3,1,0,1,75,Auto Repair Services and Parking,31394,15594,15800,84100,30365,27.9,5,231,1616,40504,10983,267,11250,FL,A,S2
66918063,0.976570458,17256,28500,35340,12.5,4218,18754.74,20739.3333,6,O,559,7,72,69,24,0,3,Corporation,4,0,2,0,72,Personal Services,52194,24792,27402,180400,45056,37.3,5,1547,24689,915973,25028,1762,26790,MA,B,S3
172013160,0.788405797,12784,27600,32430,12.5,2208,21428.7,21428.6667,3,O,534,22,39,15,30,7,17,Corporation,10,7,2,5,58,Eating and Drinking Places,5041,2489,2552,60900,35446,36,6,72,487,17099,2083,144,2227,IL,OTHER,S3
429216750,0.979984454,10086,16600,20584,12.5,1965.44,11027.42,11027.5,4,R,569,5,15,8,8,2,5,Sole Proprietorship,1,0,1,0,72,Personal Services,23665,11446,12219,108200,40449,40.2,5,665,9446,276618,7197,665,7862,NH,B,S2
17014005,0.325316456,3084,16000,18960,12.5,2192,12782.44,15193.5,4,O,452,10,23,4,9,10,9,Limited Liability Company,8,0,1,0,79,Amusement and Recreational Services,22598,10327,12271,149800,52557,40.3,5,1712,41313,2003439,8666,1866,10532,MI,H,S2
418310599,1.041843318,16956,28000,32550,12.5,1956.5,27176.64,32224.5,4,O,653,12,35,35,17,0,0,Corporation,4,2,4,0,56,Apparel and Accessory Stores,27114,12985,14129,81200,32688,40,5,844,10897,257441,8102,897,8999,FL,C,S3
77318748,0.920362903,3652,6400,7936,12.5,947.2,4344.16,7867.66667,12,O,494,34,42,25,24,9,8,Corporation,22,3,8,0,75,Auto Repair Services and Parking,22897,11430,11467,138600,38472,39.1,5,959,12196,385998,7723,1010,8733,NY,B,S1
409813032,0.770473296,8872,19600,23030,12.5,1852.2,17676.3,17675.793,4,O,622,7,12,9,7,1,2,Limited Liability Company,1,3,3,3,58,Eating and Drinking Places,14252,7046,7206,257500,76806,39.3,5,730,14202,580760,5617,907,6524,VA,OTHER,S2
26615330,0.61139758,18319,51000,59925,12.5,3060,45855.6,48812,6,O,602,4,17,17,7,0,0,Corporation,3,2,0,0,58,Eating and Drinking Places,12986,6392,6594,101700,34816,34.1,5,343,2993,72475,5232,332,5564,NC,OTHER,S4
47914521,0.800330969,16927,36000,42300,12.5,3402,31470.66,31470.6667,3,O,581,20,8,5,4,0,3,Limited Liability Company,3,2,1,0,75,Auto Repair Services and Parking,38479,18455,20024,59100,35946,35.9,6,791,13785,448790,15417,881,16298,MO,OTHER,S3
447416726,0.613943355,1409,3600,4590,12.5,753.3,3610.44,3610.6,10,O,531,5,21,9,8,8,4,Corporation,9,1,1,1,57,Home Furniture and Furnishings Stores,31572,15327,16245,84600,37546,28.4,5,761,12204,251404,11865,956,12821,NC,B,S1
227115892,0.780532213,16719,36000,42840,12.5,4968,28684.64,28684.8,10,O,567,2,22,6,13,1,15,Corporation,22,0,1,0,58,Eating and Drinking Places,21616,10391,11225,73700,18100,28.5,5,1086,16298,477447,8051,1794,9845,GA,B,S3
235618003,0.738319328,4393,10000,11900,12.5,1104,16552,15032.4,5,R,602,86,25,11,11,1,9,Corporation,2,0,1,0,75,Auto Repair Services and Parking,1049,628,421,50000,10205,40.6,6,259,8266,359695,617,316,933,IA,B,S2
1411820,0.885262541,17007,32700,38422.5,12.5,2648.7,25248.66,25248.6667,3,O,630,4,45,41,20,0,4,Limited Liability Company,5,3,8,1,73,Business Services,15173,7086,8087,74900,30338,44.7,5,582,7599,176838,5140,629,5769,FL,OTHER,S3
175715342,0.720355951,6476,14500,17980,12.5,2146,9550.5,9550,6,O,610,2,23,18,12,1,4,Corporation,1,0,0,0,59,Miscellaneous Retail Stores,10800,5261,5539,192800,49958,37.1,5,328,3700,141084,3628,213,3841,NJ,B,S2
82411197,0.825146628,13506,26400,32736,12.5,4200.24,17422.58,17422.8,5,O,579,8,18,16,6,2,0,Limited Liability Company,4,1,2,0,58,Eating and Drinking Places,33213,15658,17555,84200,38419,41.6,5,1080,13950,456271,14537,999,15536,FL,H,S3
147610202,0.790604766,5739,12200,14518,12.5,1683.6,9609.92,18472.6667,3,O,544,5,34,25,20,6,3,Corporation,1,0,2,0,79,Amusement and Recreational Services,5049,2533,2516,140500,58681,38.2,5,86,457,11087,2091,60,2151,PA,B,S2
441512606,1.076433692,12013,18000,22320,12.5,2664,11885.64,11885.6285,5,O,622,1,17,12,12,1,4,Corporation,9,0,3,0,58,Eating and Drinking Places,43232,21297,21935,118500,48584,41,5,1361,36214,1139081,11065,944,12009,PA,B,S2
372412918,1.076895415,8984,14200,16685,12.5,575.1,10656,12145,2,R,612,11,24,18,16,0,6,Corporation,12,0,1,0,72,Personal Services,7294,3622,3672,121200,39875,39.7,6,130,948,29712,3463,159,3622,AL,OTHER,S2
365917948,1.022169179,31261,51400,61166,12.5,5553.98,43760.04,43760.9625,5,O,694,5,26,17,17,0,9,Corporation,1,0,0,0,59,Miscellaneous Retail Stores,31241,15136,16105,242000,75049,40.2,5,1084,9363,280294,10306,779,11085,NY,OTHER,S4
173512569,1.12155307,51735,74400,92256,12.5,11011.2,48976.72,48976.6667,3,O,585,52,44,32,31,5,7,Corporation,11,2,1,0,58,Eating and Drinking Places,29541,16177,13364,159100,37289,21.9,6,269,2819,42293,9738,286,10024,IA,B,S4
359611027,0.409766704,6973,28600,34034,12.5,3946.8,22514.14,33159.5556,9,O,559,6,19,7,13,5,7,Limited Liability Company,8,4,0,2,57,Home Furniture and Furnishings Stores,35353,16982,18371,485400,49567,33.8,5,845,9593,316223,13150,1283,14433,NY,B,S3
261214740,0.861523146,4327,8200,10045,12.5,1070.1,5331.5,8802,6,O,701,20,14,13,10,0,1,Corporation,27,5,1,5,75,Auto Repair Services and Parking,13797,6757,7040,81700,39545,37.1,6,410,5393,120937,5765,544,6309,AL,H,S2
187319244,0.774169466,51850,114000,133950,5,13081.5,229922,402366.5,4,O,645,10,15,1,1,1,4,Corporation,17,2,2,1,55,Automotive Dealers and Service Stations,12391,6181,6210,157700,61649,35.8,5,194,1052,23736,5128,119,5247,MI,B,S4
107710550,0.677553496,7821,19400,23086,12.5,535.44,27129.14,31335.0624,1,R,660,1,14,5,5,1,1,Corporation,9,4,2,1,58,Eating and Drinking Places,37516,18281,19235,188400,59496,35.9,6,1282,17229,455613,16295,1293,17588,TN,F,S2
381617985,0.844552594,54143,108200,128217,12.5,14082.24,88871.3,88871.5,4,O,533,5,48,36,35,5,7,Corporation,3,0,0,0,58,Eating and Drinking Places,40334,18482,21852,139900,46955,44.8,5,1360,24121,1032741,18940,1032,19972,OH,H,S4
74917948,0.651345369,18833,48800,57828,12.5,6685.6,37897.3,37897.5,4,O,620,15,13,8,5,2,3,Limited Liability Company,3,1,1,1,72,Personal Services,20510,9596,10914,91100,30642,39.1,5,1813,25015,1129582,10229,1866,12095,FL,H,S4
405011160,0.615524194,6106,16000,19840,12.5,1894.4,10556.06,9188,1,R,616,2,8,8,0,0,0,Limited Liability Company,2,0,1,0,58,Eating and Drinking Places,29937,14643,15294,103900,46072,33.2,5,782,19430,899467,10543,813,11356,MI,B,S2
230315990,0.538034002,4937,14800,18352,12.5,2190.4,9845.26,9845.2,5,O,554,7,13,6,2,4,3,Limited Liability Company,4,0,1,0,72,Personal Services,31769,16327,15442,169200,45223,32.7,5,1217,20836,1522463,15809,1059,16868,NJ,B,S2
241810340,0.731764706,1866,4200,5100,12.5,610.8,4618,5152,3,R,581,4,12,8,7,2,2,Corporation,2,0,1,0,58,Eating and Drinking Places,27079,13292,13787,83600,39149,40.5,5,313,1345,30254,14779,144,14923,FL,H,S1
217817498,0.619796557,7921,21300,25560,12.5,3280.2,18012.5,53267.4545,11,O,659,4,17,6,6,1,8,Limited Liability Company,9,1,1,1,59,Miscellaneous Retail Stores,18211,8682,9529,198600,55340,38.1,5,622,6431,228817,6753,567,7320,NJ,H,S3
328410614,0.997128852,14239,24000,28560,12.5,2593.3,18973.48,18973.3333,3,O,612,6,22,19,5,1,2,Sole Proprietorship,0,0,0,0,57,Home Furniture and Furnishings Stores,59653,28893,30760,94900,38738,38.1,5,1231,29408,1133141,16306,1124,17430,PA,OTHER,S3
412117375,0.967159664,28773,50000,59500,12.5,6900,39444.9,39444.8,5,O,564,8,36,26,25,2,8,Corporation,8,2,1,1,57,Home Furniture and Furnishings Stores,32411,15951,16460,143000,53814,36.6,5,1853,31119,1227934,13382,1973,15355,GA,B,S4
84214425,0.882144593,12702,24200,28798,12.5,2671.68,20913.5,19635.5395,5,R,535,27,38,28,22,5,5,Limited Liability Company,11,5,0,5,58,Eating and Drinking Places,27762,13341,14421,141200,60141,41.3,5,880,12435,476067,11400,823,12223,NY,B,S3
444210417,0.660826033,2640,6800,7990,12.5,367.2,6266,6447.5,4,R,664,23,19,13,13,0,6,Corporation,13,7,0,7,58,Eating and Drinking Places,3103,1529,1574,124500,41377,40,5,112,776,19349,765,48,813,NY,OTHER,S1
357217130,0.957284651,5401,9100,11284,12.5,1346.8,5991.78,5991.6,5,O,638,4,16,7,14,1,8,Sole Proprietorship,2,0,0,0,72,Personal Services,15405,7476,7929,77800,37410,38.2,6,579,8674,233377,6338,597,6935,WI,B,S2
31813970,0.518578644,14375,48000,55440,12.5,3350.4,51141.54,51139.5029,5,O,476,7,22,14,13,3,5,Limited Liability Company,19,17,5,0,41,Local/Suburban Transit and Highway Passenger,25807,12273,13534,626500,120036,41.5,5,1579,14890,987912,9815,1448,11263,CT,C,S4
162319883,1.004120666,12915,21800,25724,12.5,2371.84,19787,19786.6667,3,O,775,11,33,33,16,0,0,Limited Liability Company,2,0,0,0,79,Amusement and Recreational Services,29483,14133,15350,83500,41354,35.9,5,1649,34447,1458272,10571,1498,12069,FL,OTHER,S3
163510479,1.012568077,19336,30800,38192,12.5,3569.22,20350.5,20350.5,4,O,630,2,23,22,10,1,0,Corporation,9,0,2,0,53,General Merchandise Stores,45055,23131,21924,100800,38190,37,5,1301,14903,447627,17512,1076,18588,FL,OTHER,S3
397512316,0.823408911,8843,18200,21479,12.5,1736.78,14467.7,14468,1,R,624,8,15,13,8,0,2,Limited Liability Company,8,3,2,2,58,Eating and Drinking Places,8808,4413,4395,146500,55657,37.5,6,224,2679,67666,3594,112,3706,WI,B,S2
269513404,1.116978841,12881,18600,23064,17.5,3578.64,10998,24196,1,R,616,8,23,20,14,1,2,Sole Proprietorship,8,3,0,1,56,Apparel and Accessory Stores,38302,17559,20743,74600,30698,35.7,5,1280,22935,556915,14933,1844,16777,SC,B,S2
314717279,0.885245902,8964,16600,20252,12.5,3286.8,12989.12,12989,14,O,636,3,14,8,7,1,5,Corporation,2,0,1,0,75,Auto Repair Services and Parking,22218,10499,11719,133400,60116,39.9,6,678,11203,364092,7626,753,8379,IL,H,S2
210212893,0.988425559,12468,21200,25228,12.5,2340.48,16727.18,27194,4,R,601,4,21,16,12,0,5,Corporation,5,4,1,0,58,Eating and Drinking Places,35665,17249,18416,107200,51888,38.1,5,378,4093,96910,14249,365,14614,NY,B,S3
338712855,0.747697368,6819,15200,18240,15,425.6,17034,12102,2,R,531,21,30,16,15,6,8,Corporation,28,5,3,2,59,Miscellaneous Retail Stores,14310,6956,7354,85200,39864,37.2,5,464,7848,193455,5521,439,5960,IN,A,S2
141911370,0.820963186,36037,74400,87792,12.5,5208,67452.36,67452.36,3,O,610,36,7,4,5,1,3,Corporation,13,1,2,1,99,Other,9559,4781,4778,115300,61066,35.3,5,99,923,16305,4962,50,5012,GA,OTHER,S4
358917591,1.093642768,131948,196600,241300,12.5,18547.1,126734,185909.333,3,R,603,2,24,12,18,1,11,Corporation,1,5,1,0,57,Home Furniture and Furnishings Stores,23441,11317,12124,150600,55502,39.5,5,706,7424,187451,12243,510,12753,VA,H,S4
70114389,0.791252865,4143,8800,10472,12.5,1214.4,6908.32,6908.66667,3,O,498,2,42,26,27,6,10,Sole Proprietorship,2,1,1,0,59,Miscellaneous Retail Stores,6007,2997,3010,131800,52114,33.6,6,135,1345,44473,2462,124,2586,IL,B,S2
3213477,1.016186121,12776,21400,25145,10,2311.2,24120.34,29974.3333,6,O,728,8,25,25,18,0,0,Sole Proprietorship,6,0,1,0,75,Auto Repair Services and Parking,20523,9495,11028,91700,32175,34.7,6,672,16544,407956,7239,972,8211,AL,E,S3
346919964,0.781278802,27126,56000,69440,12.5,8702.4,36723.46,36723.2,5,O,484,10,42,31,32,5,6,Corporation,10,42,5,36,57,Home Furniture and Furnishings Stores,25403,12415,12988,131700,59079,35.2,5,573,5761,137076,10877,431,11308,IN,H,S4
69319169,0.90464716,22995,41500,50837.5,12.5,4212.26,28327.72,28327.5,4,O,664,13,48,47,19,0,1,Corporation,13,0,2,0,72,Personal Services,30225,15090,15135,166200,69276,34.1,6,533,4135,117604,11394,329,11723,IL,C,S4
168113519,0.920913978,17129,30000,37200,12.5,4440,19692.44,19693,4,O,662,3,28,22,25,0,6,Corporation,2,2,3,1,58,Eating and Drinking Places,60460,29829,30631,149000,56128,34.6,5,1594,25007,823889,16217,1701,17918,NY,B,S3
284813817,0.806241581,25137,52400,62356,15,5784.96,41029.08,29484.6667,6,R,420,7,54,26,39,9,19,Corporation,9,0,1,0,7,Agricultural Services,14862,7229,7633,69500,38558,38.2,6,310,3893,76482,5787,362,6149,IL,B,S4
435113906,0.547354077,4820,14800,17612,12.5,2042.4,13665.72,19498.6667,6,O,476,1,37,15,15,6,5,Sole Proprietorship,4,0,2,0,70,Hotels Rooming and Other Lodging Places,17339,8310,9029,113800,33558,39,6,1206,16196,368385,7492,1043,8535,MO,B,S2
140717409,0.826814516,4101,8000,9920,17.5,947.2,8542,16432,1,R,522,2,23,11,16,4,8,Limited Liability Company,2,3,1,2,59,Miscellaneous Retail Stores,19417,9156,10261,105400,34656,35.3,6,548,8595,219063,7746,860,8606,LA,B,S1
422310991,0.58245614,2822,7600,9690,12.5,1590.3,4965.26,4965,4,O,517,6,33,22,20,5,6,Corporation,2,3,0,0,58,Eating and Drinking Places,9677,4683,4994,52400,31616,39.3,6,240,2766,59589,3716,243,3959,IL,B,S1
310611163,0.919447123,14302,24400,31110,12.5,6240.3,36750.14,36747.7548,3,R,499,2,46,11,11,15,14,Sole Proprietorship,1,0,1,0,58,Eating and Drinking Places,21270,10687,10583,127600,53008,32.8,5,379,4382,248042,10254,285,10539,GA,B,S3
179015089,0.602167183,2723,7600,9044,12.5,1048.8,6034.84,6034.66667,9,O,517,1,13,9,4,3,1,Corporation,2,5,0,1,59,Miscellaneous Retail Stores,27111,13107,14004,106900,47666,38.1,5,840,18797,592030,10104,862,10966,PA,B,S1
47214128,1.108773944,21243,32200,38318,12.5,1737.44,35033.24,24826.8,5,R,671,23,18,12,11,0,6,Corporation,1,0,0,0,58,Eating and Drinking Places,32378,16466,15912,91800,35911,34.9,5,1076,15189,416894,12920,1141,14061,MI,OTHER,S3
154712204,0.645582082,2623,6800,8126,12.5,189.04,10129.26,15462,2,R,477,26,16,1,10,3,12,Corporation,20,12,1,7,59,Miscellaneous Retail Stores,7295,3673,3622,174700,63194,34.7,6,167,1430,47341,3791,75,3866,IL,A,S1
52817804,0.882967836,12079,22800,27360,12.5,3511.2,24128.38,24128.254,4,O,655,2,10,1,2,2,1,Corporation,1,1,2,0,72,Personal Services,51620,24869,26751,145300,43178,33,5,1655,18205,596188,15680,1005,16685,FL,H,S3
279910827,0.602006294,61212,164000,203360,12.5,24272,108187.32,126195.5,4,O,496,3,16,12,9,1,3,Corporation,3,3,1,0,53,General Merchandise Stores,21380,10339,11041,464800,65642,37.7,5,1883,28014,1383933,11974,1872,13846,GA,B,S4
441311979,0.63565372,6166,16100,19400.5,12.5,2724.12,13194.98,13194.6667,3,O,583,2,5,4,0,1,0,Corporation,2,1,0,1,75,Auto Repair Services and Parking,33612,15114,18498,76500,35378,39.2,5,894,14959,503954,13253,1173,14426,OH,H,S2
36815001,0.808870968,6018,12000,14880,12.5,1776,7961.64,7961.66667,6,O,499,38,24,14,16,2,8,Sole Proprietorship,15,6,1,0,76,Miscellaneous Repair Services,30595,14849,15746,50700,31863,39,6,759,14120,367832,12502,984,13486,IA,B,S2
108715946,1.311907742,14675,18800,22372,12.5,1014.42,16336,17616,3,R,603,2,30,18,22,0,12,Sole Proprietorship,14,1,0,0,75,Auto Repair Services and Parking,23510,11133,12377,133700,41877,36.4,5,549,7102,232718,12935,603,13538,NC,OTHER,S2
362818418,0.604966311,39955,111000,132090,10,15318,187261.68,187250.752,12,O,567,15,58,42,38,5,11,Corporation,30,5,14,0,53,General Merchandise Stores,26443,13408,13035,136300,47917,35.1,5,728,7567,200925,10151,656,10807,MI,H,S4
40911168,0.895171849,10939,20800,24440,10,2457,25141.22,26570.6667,9,O,531,3,35,30,24,1,4,Corporation,1,0,0,0,56,Apparel and Accessory Stores,13645,6563,7082,161500,39943,34.6,5,450,4954,121773,7501,431,7932,VA,D,S2
188117706,0.679810386,15775,39000,46410,12.5,5382,30608.88,33000,3,O,542,14,45,33,30,3,9,Corporation,12,1,8,0,64,Insurance Agents Brokers and Services,8039,3450,4589,175800,39311,67.9,5,543,5453,165462,13058,1084,14142,FL,B,S3
136615273,0.832536334,8879,18000,21330,12.5,2466,14032.16,14032.5,4,O,547,10,37,24,9,0,13,Corporation,9,0,1,0,75,Auto Repair Services and Parking,7482,4177,3305,329100,70469,35.9,5,330,12157,745238,2043,236,2279,NY,H,S2
278215862,0.692602173,3347,8200,9665,12.5,667.8,7386.64,7386.5,4,O,555,17,32,23,21,3,6,Limited Liability Company,14,1,1,0,56,Apparel and Accessory Stores,15068,7336,7732,92500,40820,38.3,5,423,7846,224667,6396,440,6836,OH,OTHER,S1
181712010,1.020661157,11115,18000,21780,12.5,1080,16178.76,16177.9128,7,O,536,7,44,32,23,1,11,Corporation,1,5,1,0,59,Miscellaneous Retail Stores,21784,11006,10778,86400,30721,43.7,5,337,2900,54671,9802,441,10243,FL,A,S2
42918207,1.031815327,10104,16668,19584.9,10,1968.9,30935.18,30935.2,5,O,590,4,43,42,24,0,1,Corporation,1,0,1,0,59,Miscellaneous Retail Stores,50512,23626,26886,174400,67917,37.5,5,1081,15717,607998,8941,359,9300,VA,D,S2
220611427,1.039490814,14372,22300,27652,12.5,3465.42,14370.52,14370.4,5,O,469,9,54,38,41,7,9,Corporation,6,2,1,0,72,Personal Services,24377,12063,12314,248300,95468,34.5,5,1147,20264,950403,13043,655,13698,GA,H,S3
350913437,0.695947712,2662,6000,7650,12.5,1255.5,3960.16,3960,3,O,473,1,29,7,14,9,13,Corporation,1,0,0,0,58,Eating and Drinking Places,61737,29505,32232,136100,36646,33.5,5,1308,18989,634704,20809,1814,22623,MA,B,S1
216419060,0.478222222,4573,15000,19125,12.5,3138.76,9881.4,9881.33333,3,O,568,23,14,7,6,5,2,Corporation,16,4,3,1,75,Auto Repair Services and Parking,17884,8422,9462,108400,39780,47.5,5,872,13624,419176,10822,980,11802,FL,B,S2
188310274,1.105025253,87518,132000,158400,12.5,16170,90382,114722,3,R,630,2,30,29,22,0,1,Corporation,22,7,3,0,70,Hotels Rooming and Other Lodging Places,22726,10055,12671,111700,36568,39.4,5,477,9636,316522,10694,373,11067,VA,H,S4
69814316,1.049743213,35770,58000,68150,12.5,1566,57710,56257.5,12,R,624,42,20,18,13,1,1,Sole Proprietorship,3,2,3,0,59,Miscellaneous Retail Stores,11831,5515,6316,507400,55648,54.6,5,1413,17437,561065,7291,1275,8566,FL,OTHER,S4
326413643,1.204185632,24339,32600,40424,10,4824.8,26730.76,26730.8571,7,O,674,2,28,22,21,0,6,Corporation,23,0,1,0,75,Auto Repair Services and Parking,38292,18564,19728,98500,45619,35.8,5,1193,27252,853328,15085,1160,16245,IN,B,S3
145715314,0.942770737,32733,56000,69440,17.5,6630.4,49488,113422,1,R,614,7,19,7,15,0,12,Limited Liability Company,1,1,0,0,58,Eating and Drinking Places,27314,12736,14578,83800,31691,39.5,5,1007,18998,479359,12438,1222,13660,VA,B,S4
6911873,0.948613608,20048,35700,42268,12.5,4590.58,24369.04,24368.6667,12,O,511,7,31,16,17,3,12,Sole Proprietorship,2,0,1,0,58,Eating and Drinking Places,12907,6231,6676,85000,35014,35.9,6,307,3049,70327,5367,239,5606,MO,H,S3
392017528,0.828709677,10276,20000,24800,12.5,2368,24501.4,24501.5,4,R,492,3,10,4,4,6,0,Corporation,3,2,2,0,57,Home Furniture and Furnishings Stores,21668,10395,11273,217200,65466,44.1,6,699,11881,466147,8434,563,8997,IL,B,S2
436217235,0.887663609,34452,62600,77624,12.5,9264.8,41256.26,41256,9,O,581,1,20,13,8,1,6,Corporation,1,1,0,1,73,Business Services,34206,16604,17602,64300,31143,35,6,651,9659,287254,13696,971,14667,AR,B,S4
100617856,0.753446809,17706,40000,47000,11.5,3240,30586.44,30586.2857,7,O,466,17,20,5,9,8,7,Corporation,16,8,1,7,75,Auto Repair Services and Parking,55520,27528,27992,163100,44171,28.1,5,1030,19537,925234,21789,937,22726,MI,A,S3
326719809,0.970601012,31627,55228.76,65169.93,12.5,7135.56,43230.06,43230,5,O,655,16,29,21,15,4,4,Corporation,10,12,2,7,56,Apparel and Accessory Stores,4723,2407,2316,223700,56297,35.5,5,2392,41127,2737738,8192,2020,10212,FL,H,S4
128619584,0.953932292,36631,64000,76800,9,1280,53983.48,53984,3,R,575,10,26,16,18,5,5,Corporation,25,9,2,0,79,Amusement and Recreational Services,39662,19029,20633,165100,53352,37.7,5,883,13406,467197,12496,691,13187,MI,A,S4
333010574,0.952464097,87280,147800,183272,10,28436.72,169296,138044.5,4,R,599,10,12,8,4,3,1,Corporation,9,5,0,3,57,Home Furniture and Furnishings Stores,40339,19385,20954,254400,81806,38.1,5,1219,9157,311040,12667,590,13257,NJ,B,S4
195615825,0.80281406,47757,100400,118974,7.5,13067.06,142351.42,163169.189,1,O,733,10,15,2,2,0,0,Corporation,12,4,4,1,57,Home Furniture and Furnishings Stores,11636,5686,5950,286100,37234,51.1,5,1465,16490,616001,7657,1517,9174,FL,H,S4
45919169,1.617433752,46388,48000,57360,8,7005.6,63634.58,63634.7273,11,O,671,24,72,71,43,0,1,Sole Proprietorship,2,0,0,0,58,Eating and Drinking Places,3160,1503,1657,52400,21477,31.7,6,32,526,25247,989,44,1033,LA,H,S4
34414628,0.976075269,3631,6000,7440,12.5,888,3950.76,3770,9,O,576,3,33,17,17,11,5,Corporation,3,0,1,0,41,Local/Suburban Transit and Highway Passenger,25133,13104,12029,135800,41334,45.9,5,761,7501,209376,15677,551,16228,FL,B,S1
254711422,1.394367347,17081,20000,24500,12.5,4060,15301.44,15301.5556,9,O,641,4,58,57,24,0,1,Sole Proprietorship,2,0,0,0,58,Eating and Drinking Places,54622,28133,26489,151800,65818,35.1,5,850,5826,136168,17133,636,17769,VA,H,S2
159710177,0.543907563,2589,8000,9520,12.5,220.8,22972,22972,1,R,662,10,24,22,12,0,2,Corporation,15,2,1,0,75,Auto Repair Services and Parking,24775,11890,12885,77300,23903,32,5,864,18428,589883,9535,1231,10766,TN,F,S1
315615834,1.065411437,7639,12000,14340,11.5,333.6,15792,15930,4,R,567,10,42,31,26,6,5,Corporation,8,0,1,0,58,Eating and Drinking Places,26685,12690,13995,89500,51250,34.3,5,645,12488,288280,8792,707,9499,NY,A,S2
381111433,0.785148936,18451,40000,47000,15,2700,29264,29365.5,4,R,653,4,11,10,3,0,1,Corporation,7,8,1,2,75,Auto Repair Services and Parking,30835,14266,16569,86900,33110,36.8,5,869,23317,953490,12592,972,13564,SC,E,S3
216614445,1.071351298,21787,32800,40672,15,6310.72,22624,31217.3333,3,R,532,9,27,18,21,4,5,Corporation,1,1,1,0,56,Apparel and Accessory Stores,50460,24643,25817,170200,60378,36.7,6,1878,31766,1181354,19769,1749,21518,IL,B,S3
